generation,best_fitness,winning_generation
0,0.9993758346473288,2
1,0.999999880303737,2
2,0.9999999836022583,2
3,0.99999999884555,2
4,0.9999999635451934,2
5,0.9999999935012421,2
6,0.9999999862365433,2
7,0.9999999998055268,2
8,0.9999999992265347,2
9,0.9999999986407966,2
10,0.9999999972951648,2
11,0.9999998809046208,2
12,0.9999999972278457,2
13,0.9999999999608584,2
14,0.9999999680343831,2
15,0.9999999801396668,2
16,0.9999999750159995,2
17,0.9999999969767811,2
18,0.9999999998665657,2
19,0.9999999992668215,2
20,0.9999999376029438,2
21,0.9999998839420956,2
22,0.9999999999999981,2
23,0.9999999896623537,2
24,0.9999998372055525,2
25,0.9999999582444252,2
26,0.9999999380323785,2
27,0.9999999904133329,2
28,0.9999999202619315,2
29,0.9999999932999799,2
30,0.9999999472020756,2
31,0.9999999986505865,2
32,0.999999977343512,2
33,0.9999999770908999,2
34,0.9999999954628157,2
35,0.9999999988003871,2
36,0.9999999876844018,2
37,0.9999998279552328,2
38,0.9999999865794098,2
39,0.9999999881081405,2
40,0.9999999400125625,2
41,0.9999999994119374,2
42,0.9999999979918958,2
43,0.9999999741004997,2
44,0.9999999462739347,2
45,0.9999999982488499,2
46,0.9999999911776357,2
47,0.9999999810553964,2
48,0.9999996309861802,2
49,0.9999999996962986,2
50,0.9999999987814072,2
51,0.999999979241253,2
52,0.9999999689527946,2
53,0.9999999805109043,2
54,0.9999998442207038,2
55,0.9999999992775661,2
56,0.9999999614650171,2
57,0.9999999908330246,2
58,0.9999999453601142,2
59,0.9999997364359254,2
60,0.9999999941523297,2
61,0.9999999993083042,2
62,0.9999999694563679,2
63,0.999999935294787,2
64,0.9999999996841139,2
65,0.9999999936390175,2
66,0.9999999998546251,2
67,0.9999999613193912,2
68,0.9999999964686476,2
69,0.9999999903203053,2
70,0.9999997873908903,2
71,0.999999989836716,2
72,0.999999991173768,2
73,0.9999999997383485,2
74,0.9999999062675448,2
75,0.9999999500714895,2
76,0.9999999892721048,2
77,0.9999999986682941,2
78,0.9999999988302796,2
79,0.9999999997767507,2
80,0.9999994483118919,2
81,0.9999999752417429,2
82,0.9999999952654451,2
83,0.9999999976724699,2
84,0.9999999937381356,2
85,0.9999999998082498,2
86,0.9999999714607801,2
87,0.999999999700586,2
88,0.9999999999766144,2
89,0.9999999841842787,2
90,0.9999999996264505,2
91,0.9999999996689958,2
92,0.9999999454044732,2
93,0.9999999975147573,2
94,0.9999999718361082,2
95,0.9999996242597166,2
96,0.9999997309651308,2
97,0.9999999939435337,2
98,0.9999999338656739,2
99,0.9999999921978866,2
100,0.9999999987226283,2
101,0.9999999458523765,2
102,0.9999999547615751,2
103,0.9999999515462958,2
104,0.9999999877921396,2
105,0.9999999995540876,2
106,0.9999999981983897,2
107,0.9999999975807062,2
108,0.9999999880094383,2
109,0.9999999695035657,2
110,0.9999999769649867,2
111,0.9999998778930238,2
112,0.999999997080883,2
113,0.9999999725650354,2
114,0.9999998709724165,2
115,0.9999999212059425,2
116,0.9999999984326503,2
117,0.9999998619886417,2
118,0.9999999999981561,2
119,0.9999999974063227,2
120,0.9999999584583631,2
121,0.9999999680317485,2
122,0.999999931114805,2
123,0.9999999999848271,2
124,0.9999999757745863,2
125,0.9999999782378287,2
126,0.9999999706597142,2
127,0.9999999995843903,2
128,0.9999999743558977,2
129,0.9999999983975363,2
130,0.9999999972964059,2
131,0.9999999661520494,2
132,0.9999999999995807,2
133,0.9999999986430773,2
134,0.9999998764271104,2
135,0.9999998116983813,2
136,0.9999999856495928,2
137,0.999999983313417,2
138,0.9999999915006168,2
139,0.9999999828416296,2
140,0.9999999999906113,2
141,0.9999999958526011,2
142,0.9999999477372654,2
143,0.9999999729132671,2
144,0.9999999478550341,2
145,0.9999999836967106,2
146,0.999999936753074,2
147,0.9999999903383814,2
148,0.9999999849761845,2
149,0.9999999115100671,2
150,0.9999999972435111,2
151,0.9999998163883617,2
152,0.9999999979960116,2
153,0.9999996403105023,2
154,0.999999982948897,2
155,0.9999999838222328,2
156,0.9999999802613625,2
157,0.9999999976737004,2
158,0.9999999958876808,2
159,0.9999999999534523,2
160,0.9999999985720426,2
161,0.9999999705359419,2
162,0.999999996674682,2
163,0.9999999998764362,2
164,0.9999999992019841,2
165,0.9999999910799302,2
166,0.9999999873342648,2
167,0.9999999813722702,2
168,0.9999999898988372,2
169,0.9999999826523122,2
170,0.9999998516823434,2
171,0.9999999115866539,2
172,0.9999999945602168,2
173,0.9999999649213916,2
174,0.9999999994892326,2
175,0.999999567961241,2
176,0.9999999822968857,2
177,0.9999999999130169,2
178,0.9999999999193797,2
179,0.9999999341264234,2
180,0.9999999997958419,2
181,0.999999997880302,2
182,0.9999999486966858,2
183,0.9999999179589913,2
184,0.9999999944165887,2
185,0.9999999326494713,2
186,0.999999955327455,2
187,0.9999998964336448,2
188,0.9999999703890523,2
189,0.9999999984979938,2
190,0.9999999766783751,2
191,0.999999992634809,2
192,0.9999999980890923,2
193,0.9999999498764665,2
194,0.9999999821073692,2
195,0.9999999999888538,2
196,0.9999999983087994,2
197,0.999999969998218,2
198,0.9999999982649691,2
199,0.9999999988291386,2
200,0.9999999947447955,2
